#,Calculator,Iter,CheckName,Type,Inputs,Expected,Tolerance
54,dBmConverter,26,dBm[26] dBW,numeric,dbm=-9.40019,-39.4002,±0.1%
55,dBmConverter,27,dBm[27] mW,numeric,dbm=-30.9758,0.000798775,±0.2%
56,dBmConverter,27,dBm[27] dBW,numeric,dbm=-30.9758,-60.9758,±0.1%
57,dBmConverter,28,dBm[28] mW,numeric,dbm=4.93555,3.1157,±0.2%
58,dBmConverter,28,dBm[28] dBW,numeric,dbm=4.93555,-25.0644,±0.1%
59,dBmConverter,29,dBm[29] mW,numeric,dbm=-28.3389,0.00146593,±0.2%
60,dBmConverter,29,dBm[29] dBW,numeric,dbm=-28.3389,-58.3389,±0.1%
61,dBmConverter,30,dBm[30] mW,numeric,dbm=-18.9601,0.0127054,±0.2%
62,dBmConverter,30,dBm[30] dBW,numeric,dbm=-18.9601,-48.9601,±0.1%
63,dBmConverter,31,dBm[31] mW,numeric,dbm=17.2018,52.5022,±0.2%
64,dBmConverter,31,dBm[31] dBW,numeric,dbm=17.2018,-12.7982,±0.1%
65,dBmConverter,32,dBm[32] mW,numeric,dbm=9.24004,8.39467,±0.2%
66,dBmConverter,32,dBm[32] dBW,numeric,dbm=9.24004,-20.76,±0.1%
67,dBmConverter,33,dBm[33] mW,numeric,dbm=-2.15048,0.60947,±0.2%
68,dBmConverter,33,dBm[33] dBW,numeric,dbm=-2.15048,-32.1505,±0.1%
69,dBmConverter,34,dBm[34] mW,numeric,dbm=3.54698,2.26307,±0.2%
70,dBmConverter,34,dBm[34] dBW,numeric,dbm=3.54698,-26.453,±0.1%
71,dBmConverter,35,dBm[35] mW,numeric,dbm=-38.0746,0.00015579,±0.2%
72,dBmConverter,35,dBm[35] dBW,numeric,dbm=-38.0746,-68.0746,±0.1%
73,dBmConverter,36,dBm[36] mW,numeric,dbm=15.7409,37.5049,±0.2%
74,dBmConverter,36,dBm[36] dBW,numeric,dbm=15.7409,-14.2591,±0.1%
75,dBmConverter,37,dBm[37] mW,numeric,dbm=12.1174,16.283,±0.2%
76,dBmConverter,37,dBm[37] dBW,numeric,dbm=12.1174,-17.8826,±0.1%
77,dBmConverter,38,dBm[38] mW,numeric,dbm=-40.6113,0.0000868698,±0.2%
78,dBmConverter,38,dBm[38] dBW,numeric,dbm=-40.6113,-70.6113,±0.1%
79,dBmConverter,39,dBm[39] mW,numeric,dbm=-24.1865,0.0038137,±0.2%
80,dBmConverter,39,dBm[39] dBW,numeric,dbm=-24.1865,-54.1865,±0.1%
81,dBmConverter,40,dBm[40] mW,numeric,dbm=29.548,901.153,±0.2%
82,dBmConverter,40,dBm[40] dBW,numeric,dbm=29.548,-0.452016,±0.1%
83,dBmConverter,41,dBm[41] mW,numeric,dbm=-18.9235,0.012813,±0.2%
84,dBmConverter,41,dBm[41] dBW,numeric,dbm=-18.9235,-48.9235,±0.1%
85,dBmConverter,42,dBm[42] mW,numeric,dbm=-1.85012,0.653112,±0.2%
86,dBmConverter,42,dBm[42] dBW,numeric,dbm=-1.85012,-31.8501,±0.1%
87,dBmConverter,43,dBm[43] mW,numeric,dbm=46.9143,49139.7,±0.2%
88,dBmConverter,43,dBm[43] dBW,numeric,dbm=46.9143,16.9143,±0.1%
89,dBmConverter,44,dBm[44] mW,numeric,dbm=-8.67691,0.135615,±0.2%
90,dBmConverter,44,dBm[44] dBW,numeric,dbm=-8.67691,-38.6769,±0.1%
91,dBmConverter,45,dBm[45] mW,numeric,dbm=-11.9951,0.0631671,±0.2%
92,dBmConverter,45,dBm[45] dBW,numeric,dbm=-11.9951,-41.9951,±0.1%
93,dBmConverter,46,dBm[46] mW,numeric,dbm=-5.52772,0.280045,±0.2%
94,dBmConverter,46,dBm[46] dBW,numeric,dbm=-5.52772,-35.5277,±0.1%
95,dBmConverter,47,dBm[47] mW,numeric,dbm=-1.80502,0.659929,±0.2%
96,dBmConverter,47,dBm[47] dBW,numeric,dbm=-1.80502,-31.805,±0.1%
97,dBmConverter,48,dBm[48] mW,numeric,dbm=15.0056,31.6636,±0.2%
98,dBmConverter,48,dBm[48] dBW,numeric,dbm=15.0056,-14.9944,±0.1%
99,dBmConverter,49,dBm[49] mW,numeric,dbm=20.1573,103.688,±0.2%
100,dBmConverter,49,dBm[49] dBW,numeric,dbm=20.1573,-9.84271,±0.1%
101,dBmConverter,50,dBm[50] mW,numeric,dbm=42.4698,17659.4,±0.2%
102,dBmConverter,50,dBm[50] dBW,numeric,dbm=42.4698,12.4698,±0.1%
103,dBmConverter,51,dBm[51] mW,numeric,dbm=-13.1853,0.048025,±0.2%
104,dBmConverter,51,dBm[51] dBW,numeric,dbm=-13.1853,-43.1853,±0.1%
105,dBmConverter,52,dBm[52] mW,numeric,dbm=12.7454,18.8168,±0.2%
106,dBmConverter,52,dBm[52] dBW,numeric,dbm=12.7454,-17.2546,±0.1%
107,dBmConverter,53,dBm[53] mW,numeric,dbm=39.7674,9478.55,±0.2%
108,dBmConverter,53,dBm[53] dBW,numeric,dbm=39.7674,9.76742,±0.1%
109,dBmConverter,54,dBm[54] mW,numeric,dbm=-11.8682,0.0650403,±0.2%
110,dBmConverter,54,dBm[54] dBW,numeric,dbm=-11.8682,-41.8682,±0.1%
111,dBmConverter,55,dBm[55] mW,numeric,dbm=47.2463,53043,±0.2%
112,dBmConverter,55,dBm[55] dBW,numeric,dbm=47.2463,17.2463,±0.1%
113,dBmConverter,56,dBm[56] mW,numeric,dbm=39.8555,9672.7,±0.2%
114,dBmConverter,56,dBm[56] dBW,numeric,dbm=39.8555,9.85548,±0.1%
115,dBmConverter,57,dBm[57] mW,numeric,dbm=-34.6958,0.00033917,±0.2%
116,dBmConverter,57,dBm[57] dBW,numeric,dbm=-34.6958,-64.6958,±0.1%
117,dBmConverter,58,dBm[58] mW,numeric,dbm=45.0281,31827.8,±0.2%
118,dBmConverter,58,dBm[58] dBW,numeric,dbm=45.0281,15.0281,±0.1%
119,dBmConverter,59,dBm[59] mW,numeric,dbm=-32.6922,0.000537996,±0.2%
120,dBmConverter,59,dBm[59] dBW,numeric,dbm=-32.6922,-62.6922,±0.1%
121,dBmConverter,60,dBm[60] mW,numeric,dbm=17.5959,57.4895,±0.2%
122,dBmConverter,60,dBm[60] dBW,numeric,dbm=17.5959,-12.4041,±0.1%
123,dBmConverter,61,dBm[61] mW,numeric,dbm=14.5441,28.4712,±0.2%
124,dBmConverter,61,dBm[61] dBW,numeric,dbm=14.5441,-15.4559,±0.1%
125,dBmConverter,62,dBm[62] mW,numeric,dbm=-36.3743,0.000230447,±0.2%
126,dBmConverter,62,dBm[62] dBW,numeric,dbm=-36.3743,-66.3743,±0.1%
127,dBmConverter,63,dBm[63] mW,numeric,dbm=11.1664,13.081,±0.2%
128,dBmConverter,63,dBm[63] dBW,numeric,dbm=11.1664,-18.8336,±0.1%
129,dBmConverter,64,dBm[64] mW,numeric,dbm=16.6032,45.742,±0.2%
130,dBmConverter,64,dBm[64] dBW,numeric,dbm=16.6032,-13.3968,±0.1%
131,dBmConverter,65,dBm[65] mW,numeric,dbm=-13.9774,0.0400187,±0.2%
132,dBmConverter,65,dBm[65] dBW,numeric,dbm=-13.9774,-43.9774,±0.1%
133,dBmConverter,66,dBm[66] mW,numeric,dbm=49.5331,89806,±0.2%
134,dBmConverter,66,dBm[66] dBW,numeric,dbm=49.5331,19.5331,±0.1%
135,dBmConverter,67,dBm[67] mW,numeric,dbm=28.378,688.335,±0.2%
136,dBmConverter,67,dBm[67] dBW,numeric,dbm=28.378,-1.622,±0.1%
137,dBmConverter,68,dBm[68] mW,numeric,dbm=8.77605,7.54406,±0.2%
138,dBmConverter,68,dBm[68] dBW,numeric,dbm=8.77605,-21.2239,±0.1%
139,dBmConverter,69,dBm[69] mW,numeric,dbm=-19.5727,0.011034,±0.2%
140,dBmConverter,69,dBm[69] dBW,numeric,dbm=-19.5727,-49.5727,±0.1%
141,dBmConverter,70,dBm[70] mW,numeric,dbm=-49.0189,0.0000125347,±0.2%
142,dBmConverter,70,dBm[70] dBW,numeric,dbm=-49.0189,-79.0189,±0.1%
143,dBmConverter,71,dBm[71] mW,numeric,dbm=13.0238,20.0624,±0.2%
144,dBmConverter,71,dBm[71] dBW,numeric,dbm=13.0238,-16.9762,±0.1%
145,dBmConverter,72,dBm[72] mW,numeric,dbm=20.4312,110.437,±0.2%
146,dBmConverter,72,dBm[72] dBW,numeric,dbm=20.4312,-9.56885,±0.1%
147,dBmConverter,73,dBm[73] mW,numeric,dbm=-11.5058,0.0707004,±0.2%
148,dBmConverter,73,dBm[73] dBW,numeric,dbm=-11.5058,-41.5058,±0.1%
149,dBmConverter,74,dBm[74] mW,numeric,dbm=-39.1437,0.000121794,±0.2%
150,dBmConverter,74,dBm[74] dBW,numeric,dbm=-39.1437,-69.1437,±0.1%
151,dBmConverter,75,dBm[75] mW,numeric,dbm=2.00791,1.58778,±0.2%
152,dBmConverter,75,dBm[75] dBW,numeric,dbm=2.00791,-27.9921,±0.1%
153,dBmConverter,76,dBm[76] mW,numeric,dbm=44.5404,28447.1,±0.2%
154,dBmConverter,76,dBm[76] dBW,numeric,dbm=44.5404,14.5404,±0.1%
155,dBmConverter,77,dBm[77] mW,numeric,dbm=-3.02898,0.497854,±0.2%
156,dBmConverter,77,dBm[77] dBW,numeric,dbm=-3.02898,-33.029,±0.1%
157,dBmConverter,78,dBm[78] mW,numeric,dbm=3.59568,2.28859,±0.2%
158,dBmConverter,78,dBm[78] dBW,numeric,dbm=3.59568,-26.4043,±0.1%
159,dBmConverter,79,dBm[79] mW,numeric,dbm=26.5766,454.636,±0.2%
160,dBmConverter,79,dBm[79] dBW,numeric,dbm=26.5766,-3.42337,±0.1%
161,dBmConverter,80,dBm[80] mW,numeric,dbm=-5.13692,0.306413,±0.2%
162,dBmConverter,80,dBm[80] dBW,numeric,dbm=-5.13692,-35.1369,±0.1%
163,dBmConverter,81,dBm[81] mW,numeric,dbm=-10.7907,0.0833543,±0.2%
164,dBmConverter,81,dBm[81] dBW,numeric,dbm=-10.7907,-40.7907,±0.1%
165,dBmConverter,82,dBm[82] mW,numeric,dbm=2.25916,1.68235,±0.2%
166,dBmConverter,82,dBm[82] dBW,numeric,dbm=2.25916,-27.7408,±0.1%
167,dBmConverter,83,dBm[83] mW,numeric,dbm=-43.8762,0.0000409614,±0.2%
168,dBmConverter,83,dBm[83] dBW,numeric,dbm=-43.8762,-73.8762,±0.1%
169,dBmConverter,84,dBm[84] mW,numeric,dbm=9.78514,9.51732,±0.2%
170,dBmConverter,84,dBm[84] dBW,numeric,dbm=9.78514,-20.2149,±0.1%
171,dBmConverter,85,dBm[85] mW,numeric,dbm=41.9478,15659.5,±0.2%
172,dBmConverter,85,dBm[85] dBW,numeric,dbm=41.9478,11.9478,±0.1%
173,dBmConverter,86,dBm[86] mW,numeric,dbm=46.0888,40633.2,±0.2%
174,dBmConverter,86,dBm[86] dBW,numeric,dbm=46.0888,16.0888,±0.1%
175,dBmConverter,87,dBm[87] mW,numeric,dbm=-1.65704,0.682804,±0.2%
176,dBmConverter,87,dBm[87] dBW,numeric,dbm=-1.65704,-31.657,±0.1%
177,dBmConverter,88,dBm[88] mW,numeric,dbm=38.6777,7375.06,±0.2%
178,dBmConverter,88,dBm[88] dBW,numeric,dbm=38.6777,8.67765,±0.1%
179,dBmConverter,89,dBm[89] mW,numeric,dbm=44.8498,30548.1,±0.2%
180,dBmConverter,89,dBm[89] dBW,numeric,dbm=44.8498,14.8498,±0.1%
181,dBmConverter,90,dBm[90] mW,numeric,dbm=3.86965,2.43761,±0.2%
182,dBmConverter,90,dBm[90] dBW,numeric,dbm=3.86965,-26.1304,±0.1%
183,dBmConverter,91,dBm[91] mW,numeric,dbm=44.7906,30134.5,±0.2%
184,dBmConverter,91,dBm[91] dBW,numeric,dbm=44.7906,14.7906,±0.1%
185,dBmConverter,92,dBm[92] mW,numeric,dbm=-31.4125,0.00072236,±0.2%
186,dBmConverter,92,dBm[92] dBW,numeric,dbm=-31.4125,-61.4125,±0.1%
187,dBmConverter,93,dBm[93] mW,numeric,dbm=-5.64285,0.272719,±0.2%
188,dBmConverter,93,dBm[93] dBW,numeric,dbm=-5.64285,-35.6429,±0.1%
189,dBmConverter,94,dBm[94] mW,numeric,dbm=-46.5965,0.0000218952,±0.2%
190,dBmConverter,94,dBm[94] dBW,numeric,dbm=-46.5965,-76.5965,±0.1%
191,dBmConverter,95,dBm[95] mW,numeric,dbm=-24.0787,0.00390955,±0.2%
192,dBmConverter,95,dBm[95] dBW,numeric,dbm=-24.0787,-54.0787,±0.1%
193,dBmConverter,96,dBm[96] mW,numeric,dbm=-25.9272,0.00255434,±0.2%
194,dBmConverter,96,dBm[96] dBW,numeric,dbm=-25.9272,-55.9272,±0.1%
195,dBmConverter,97,dBm[97] mW,numeric,dbm=38.4224,6954.04,±0.2%
196,dBmConverter,97,dBm[97] dBW,numeric,dbm=38.4224,8.42237,±0.1%
197,dBmConverter,98,dBm[98] mW,numeric,dbm=22.4086,174.126,±0.2%
198,dBmConverter,98,dBm[98] dBW,numeric,dbm=22.4086,-7.59136,±0.1%
199,dBmConverter,99,dBm[99] mW,numeric,dbm=-35.342,0.000292277,±0.2%
200,dBmConverter,99,dBm[99] dBW,numeric,dbm=-35.342,-65.342,±0.1%
201,VSWRConverter,0,VSWR[0] γ,numeric,vswr=24.5226,0.921638,±0.3%
202,VSWRConverter,0,VSWR[0] RL,numeric,vswr=24.5226,0.708792,±2.0%
203,VSWRConverter,0,VSWR[0] ML,numeric,vswr=24.5226,8.22223,±1.0%
204,VSWRConverter,1,VSWR[1] γ,numeric,vswr=12.6124,0.853075,±0.3%
205,VSWRConverter,1,VSWR[1] RL,numeric,vswr=12.6124,1.38025,±2.0%
206,VSWRConverter,1,VSWR[1] ML,numeric,vswr=12.6124,5.65013,±1.0%
207,VSWRConverter,2,VSWR[2] γ,numeric,vswr=6.47619,0.732484,±0.3%
208,VSWRConverter,2,VSWR[2] RL,numeric,vswr=6.47619,2.70404,±2.0%
209,VSWRConverter,2,VSWR[2] ML,numeric,vswr=6.47619,3.33981,±1.0%
210,VSWRConverter,3,VSWR[3] γ,numeric,vswr=46.3555,0.957766,±0.3%
211,VSWRConverter,3,VSWR[3] RL,numeric,vswr=46.3555,0.37481,±2.0%
212,VSWRConverter,3,VSWR[3] ML,numeric,vswr=46.3555,10.8258,±1.0%
213,VSWRConverter,4,VSWR[4] γ,numeric,vswr=23.5844,0.918648,±0.3%
214,VSWRConverter,4,VSWR[4] RL,numeric,vswr=23.5844,0.73702,±2.0%
215,VSWRConverter,4,VSWR[4] ML,numeric,vswr=23.5844,8.06635,±1.0%
216,VSWRConverter,5,VSWR[5] γ,numeric,vswr=36.1067,0.946101,±0.3%
217,VSWRConverter,5,VSWR[5] RL,numeric,vswr=36.1067,0.481246,±2.0%
218,VSWRConverter,5,VSWR[5] ML,numeric,vswr=36.1067,9.79257,±1.0%
219,VSWRConverter,6,VSWR[6] γ,numeric,vswr=21.6674,0.911768,±0.3%
220,VSWRConverter,6,VSWR[6] RL,numeric,vswr=21.6674,0.802316,±2.0%
221,VSWRConverter,6,VSWR[6] ML,numeric,vswr=21.6674,7.72937,±1.0%
222,VSWRConverter,7,VSWR[7] γ,numeric,vswr=34.154,0.943107,±0.3%
223,VSWRConverter,7,VSWR[7] RL,numeric,vswr=34.154,0.508777,±2.0%
224,VSWRConverter,7,VSWR[7] ML,numeric,vswr=34.154,9.56448,±1.0%
225,VSWRConverter,8,VSWR[8] γ,numeric,vswr=27.0055,0.928585,±0.3%
226,VSWRConverter,8,VSWR[8] RL,numeric,vswr=27.0055,0.643563,±2.0%
227,VSWRConverter,8,VSWR[8] ML,numeric,vswr=27.0055,8.60974,±1.0%
228,VSWRConverter,9,VSWR[9] γ,numeric,vswr=42.8488,0.954389,±0.3%
229,VSWRConverter,9,VSWR[9] RL,numeric,vswr=42.8488,0.405494,±2.0%
230,VSWRConverter,9,VSWR[9] ML,numeric,vswr=42.8488,10.4992,±1.0%
231,VSWRConverter,10,VSWR[10] γ,numeric,vswr=29.0549,0.933455,±0.3%
232,VSWRConverter,10,VSWR[10] RL,numeric,vswr=29.0549,0.598131,±2.0%
233,VSWRConverter,10,VSWR[10] ML,numeric,vswr=29.0549,8.90552,±1.0%
234,VSWRConverter,11,VSWR[11] γ,numeric,vswr=4.91997,0.66216,±0.3%
235,VSWRConverter,11,VSWR[11] RL,numeric,vswr=4.91997,3.58074,±2.0%
236,VSWRConverter,11,VSWR[11] ML,numeric,vswr=4.91997,2.50616,±1.0%
237,VSWRConverter,12,VSWR[12] γ,numeric,vswr=27.0858,0.92879,±0.3%
238,VSWRConverter,12,VSWR[12] RL,numeric,vswr=27.0858,0.641653,±2.0%
239,VSWRConverter,12,VSWR[12] ML,numeric,vswr=27.0858,8.62172,±1.0%
240,VSWRConverter,13,VSWR[13] γ,numeric,vswr=32.1473,0.939663,±0.3%
241,VSWRConverter,13,VSWR[13] RL,numeric,vswr=32.1473,0.540555,±2.0%
242,VSWRConverter,13,VSWR[13] ML,numeric,vswr=32.1473,9.31692,±1.0%
243,VSWRConverter,14,VSWR[14] γ,numeric,vswr=29.0471,0.933438,±0.3%
244,VSWRConverter,14,VSWR[14] RL,numeric,vswr=29.0471,0.598291,±2.0%
245,VSWRConverter,14,VSWR[14] ML,numeric,vswr=29.0471,8.90443,±1.0%
246,VSWRConverter,15,VSWR[15] γ,numeric,vswr=15.6748,0.880059,±0.3%
247,VSWRConverter,15,VSWR[15] RL,numeric,vswr=15.6748,1.10977,±2.0%
248,VSWRConverter,15,VSWR[15] ML,numeric,vswr=15.6748,6.46859,±1.0%
249,VSWRConverter,16,VSWR[16] γ,numeric,vswr=31.9454,0.939293,±0.3%
250,VSWRConverter,16,VSWR[16] RL,numeric,vswr=31.9454,0.543974,±2.0%
251,VSWRConverter,16,VSWR[16] ML,numeric,vswr=31.9454,9.29121,±1.0%
252,VSWRConverter,17,VSWR[17] γ,numeric,vswr=36.6464,0.946874,±0.3%
253,VSWRConverter,17,VSWR[17] RL,numeric,vswr=36.6464,0.474155,±2.0%
254,VSWRConverter,17,VSWR[17] ML,numeric,vswr=36.6464,9.85356,±1.0%
255,VSWRConverter,18,VSWR[18] γ,numeric,vswr=27.8035,0.930564,±0.3%
256,VSWRConverter,18,VSWR[18] RL,numeric,vswr=27.8035,0.625076,±2.0%
257,VSWRConverter,18,VSWR[18] ML,numeric,vswr=27.8035,8.72731,±1.0%
258,VSWRConverter,19,VSWR[19] γ,numeric,vswr=28.172,0.931441,±0.3%
259,VSWRConverter,19,VSWR[19] RL,numeric,vswr=28.172,0.616891,±2.0%
260,VSWRConverter,19,VSWR[19] ML,numeric,vswr=28.172,8.78055,±1.0%
261,VSWRConverter,20,VSWR[20] γ,numeric,vswr=30.1365,0.935767,±0.3%
262,VSWRConverter,20,VSWR[20] RL,numeric,vswr=30.1365,0.576649,±2.0%
263,VSWRConverter,20,VSWR[20] ML,numeric,vswr=30.1365,9.05386,±1.0%
264,VSWRConverter,21,VSWR[21] γ,numeric,vswr=3.68122,0.572761,±0.3%
265,VSWRConverter,21,VSWR[21] RL,numeric,vswr=3.68122,4.84053,±2.0%
266,VSWRConverter,21,VSWR[21] ML,numeric,vswr=3.68122,1.72666,±1.0%
267,VSWRConverter,22,VSWR[22] γ,numeric,vswr=42.6314,0.954161,±0.3%
268,VSWRConverter,22,VSWR[22] RL,numeric,vswr=42.6314,0.407562,±2.0%
269,VSWRConverter,22,VSWR[22] ML,numeric,vswr=42.6314,10.4781,±1.0%
270,VSWRConverter,23,VSWR[23] γ,numeric,vswr=14.2721,0.869042,±0.3%
271,VSWRConverter,23,VSWR[23] RL,numeric,vswr=14.2721,1.21919,±2.0%
272,VSWRConverter,23,VSWR[23] ML,numeric,vswr=14.2721,6.11249,±1.0%
273,VSWRConverter,24,VSWR[24] γ,numeric,vswr=5.63289,0.698472,±0.3%
274,VSWRConverter,24,VSWR[24] RL,numeric,vswr=5.63289,3.11702,±2.0%
275,VSWRConverter,24,VSWR[24] ML,numeric,vswr=5.63289,2.90614,±1.0%
276,VSWRConverter,25,VSWR[25] γ,numeric,vswr=13.1041,0.858197,±0.3%
277,VSWRConverter,25,VSWR[25] RL,numeric,vswr=13.1041,1.32826,±2.0%
278,VSWRConverter,25,VSWR[25] ML,numeric,vswr=13.1041,5.79223,±1.0%
279,VSWRConverter,26,VSWR[26] γ,numeric,vswr=47.9163,0.959114,±0.3%
280,VSWRConverter,26,VSWR[26] RL,numeric,vswr=47.9163,0.362597,±2.0%
281,VSWRConverter,26,VSWR[26] ML,numeric,vswr=47.9163,10.9636,±1.0%
282,VSWRConverter,27,VSWR[27] γ,numeric,vswr=47.5859,0.958836,±0.3%
283,VSWRConverter,27,VSWR[27] RL,numeric,vswr=47.5859,0.365115,±2.0%
284,VSWRConverter,27,VSWR[27] ML,numeric,vswr=47.5859,10.9348,±1.0%
285,VSWRConverter,28,VSWR[28] γ,numeric,vswr=43.7667,0.955324,±0.3%
286,VSWRConverter,28,VSWR[28] RL,numeric,vswr=43.7667,0.396987,±2.0%
287,VSWRConverter,28,VSWR[28] ML,numeric,vswr=43.7667,10.5871,±1.0%
288,VSWRConverter,29,VSWR[29] γ,numeric,vswr=36.261,0.946325,±0.3%
289,VSWRConverter,29,VSWR[29] RL,numeric,vswr=36.261,0.479198,±2.0%
290,VSWRConverter,29,VSWR[29] ML,numeric,vswr=36.261,9.81009,±1.0%
291,VSWRConverter,30,VSWR[30] γ,numeric,vswr=6.25749,0.724422,±0.3%
292,VSWRConverter,30,VSWR[30] RL,numeric,vswr=6.25749,2.80016,±2.0%
293,VSWRConverter,30,VSWR[30] ML,numeric,vswr=6.25749,3.23112,±1.0%
294,VSWRConverter,31,VSWR[31] γ,numeric,vswr=8.60543,0.791784,±0.3%
295,VSWRConverter,31,VSWR[31] RL,numeric,vswr=8.60543,2.02786,±2.0%
296,VSWRConverter,31,VSWR[31] ML,numeric,vswr=8.60543,4.28201,±1.0%
297,VSWRConverter,32,VSWR[32] γ,numeric,vswr=42.0396,0.953531,±0.3%
298,VSWRConverter,32,VSWR[32] RL,numeric,vswr=42.0396,0.413303,±2.0%
299,VSWRConverter,32,VSWR[32] ML,numeric,vswr=42.0396,10.4202,±1.0%
300,VSWRConverter,33,VSWR[33] γ,numeric,vswr=20.7222,0.907928,±0.3%
301,VSWRConverter,33,VSWR[33] RL,numeric,vswr=20.7222,0.83897,±2.0%
302,VSWRConverter,33,VSWR[33] ML,numeric,vswr=20.7222,7.55311,±1.0%
303,VSWRConverter,34,VSWR[34] γ,numeric,vswr=43.7514,0.955309,±0.3%
304,VSWRConverter,34,VSWR[34] RL,numeric,vswr=43.7514,0.397126,±2.0%
305,VSWRConverter,34,VSWR[34] ML,numeric,vswr=43.7514,10.5856,±1.0%
